,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,IsInHabitableZone
30,Kepler-131 b,0.0,0.05074,0.219624,16.092,,,,,,,,,transit,2014.0,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685.0,3.66,Confirmed planets,0.9792291906883572,1.1745475872421476,0.35015557092652655,0.9130758727859775,1.6722902414611034,
31,Kepler-131 c,0.0,0.025952,0.076549,25.5169,,,,,,,,,transit,2014.0,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685.0,3.66,Confirmed planets,0.9792291906883572,1.1745475872421476,0.35015557092652655,0.9130758727859775,1.6722902414611034,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CoRoT-24 c,0.0,0.088,0.44,11.759,0.098,0.0,,,,89.0,850.0,,transit,2014.0,14/06/08,06 47 41,-03 43 10,600.0,0.91,0.86,0.3,4950.0,11.0,Confirmed planets,0.3923789710370595,1.0846333588163601,0.307514446886425,0.6014664167970535,1.1295880783914505,False
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,HD 164595 b,0.0,0.051,,40.0,0.23,0.088,,,,,,,RV,2015.0,15/06/29,18 00 38.89431,+29 34 18.9202,28.93,0.99,,-0.04,5790.0,,Confirmed planets,,1.18943469858116,0.356617266596425,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,WASP-108 b,0.0,0.892,1.284,2.6755463,0.0397,,,,,88.49,1590.0,,transit,2014.0,14/10/14,13 03 18.73,-49 38 22.8,220.0,1.167,1.215,0.05,6000.0,6.4,Confirmed planets,1.6906183680884974,1.22025788420096,0.36962302491879995,1.1770556068138103,2.1386675657540817,
52,K2-34 b,0.0,1.78,1.35,2.995607,0.04419,0.0,,,,82.06,,,transit,2016.0,16/06/07,08 30 19,+22 14 09,377.0,1.281,1.526,0.24,6132.0,,Confirmed planets,2.9094150276602915,1.2401583751738818,0.377784271902638,1.5316666757790176,2.7751144720653875,False
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,38 Vir b,0.0,4.51,,825.9,1.82,0.03,,,,,,,,2016.0,17/02/20,12 53 11.16,-03 33 11.2,,1.18,1.45,0.07,6557.0,1.9,Confirmed planets,3.4343516778277365,1.3049506793255268,0.4032704257979826,1.6222782049294135,2.9182614322666875,True
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kepler-101 b,0.0,0.161,0.515,3.4876812,0.0474,0.086,231.0,,,85.82,,,transit,2014.0,15/01/27,18 53 01.32,+48 21 18.84,990.44,1.17,1.56,,5667.0,5.9,Confirmed planets,2.217941428129146,1.1720368444883056,0.3490529752477023,1.3756387608093865,2.5207476118919074,False
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,HIP 11952 b,0.0,2.93,,290.0,0.81,0.27,,,,,372.6,,RV,2012.0,13/02/14,02 34 11,-12 23 03,111.0,0.83,1.6,-1.9,6040.0,,Controversial,3.010757282743352,1.22625480537216,0.3721006291108,1.5669224813911218,2.844511347556839,False
69,HIP 11952 c,0.0,0.78,,6.95,0.07,0.35,,,,,1263.2,,RV,2012.0,13/02/14,02 34 11,-12 23 03,111.0,0.83,1.6,-1.9,6040.0,,Controversial,3.010757282743352,1.22625480537216,0.3721006291108,1.5669224813911218,2.844511347556839,False
70,HD 122430 b,0.0,3.71,,344.95,1.02,0.68,,,,,868.8,,RV,2003.0,15/05/24,14 02 22,-27 25 47,135.0,1.68,22.9,-0.09,4300.0,,Controversial,158.4283184839194,1.03053197331456,0.2760809474368,12.398971764131517,23.955111025570737,False
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Gliese 86 b,2.0,3.91,,15.76491,0.113,0.0416,269.0,,,,,,RV,2000.0,16/02/03,02 10 25.93425,-50 49 25.4179,10.783,0.8,0.855,-0.24,5188.0,2.5,"Confirmed planets, Planets in binary systems, S-type",0.4679722758371402,1.110635225577947,0.32065779697819646,0.6491190287977395,1.208061823403716,False
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,HD 145377 b,0.0,5.76,,103.95,0.45,0.307,138.1,,,,,,RV,2008.0,15/11/17,16 11 36.44543,-27 04 41.4286,55.0,1.12,1.14,0.12,6046.0,1.3,Confirmed planets,1.5345120381302446,1.227157111994151,0.37247202274856067,1.1182401092366097,2.0297302356187137,False
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,HD 5608 b,0.0,1.4,,792.6,1.9,0.19,269.0,,,,,,RV,2012.0,15/11/02,00 58 14.21893,+33 57 03.1843,56.4,1.55,5.5,0.06,4854.0,,Confirmed planets,14.839268491296814,1.0750772261440875,0.30244190879765187,3.7152360769390196,7.0046309894451,False
87,HATS-28 b,0.0,0.672,1.194,3.1810781,0.04131,0.101,,,,86.17,,,transit,2016.0,16/07/28,18 57 36,-49 51 41,521.0,0.929,0.922,0.01,5498.0,6.2,Confirmed planets,0.6863866213158055,1.1491220269249196,0.33880100369094784,0.7728608890432453,1.4233511638885314,False
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,HD 68988 b,0.0,1.9,,6.276,0.071,0.14,,,,,1017.7,,RV,2001.0,10/12/30,08 18 22,+61 27 38,58.0,1.2,1.14,0.24,5767.0,,Confirmed planets,1.2702743657178812,1.186140003220885,0.3551980639720832,1.0348580695905032,1.891095547261138,False
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,HD 183263 b,0.0,3.635,,625.1,1.486,0.3728,232.9,,,,,,RV,2004.0,15/08/15,19 28 24.6,+08 21 28.9,55.1,1.121,1.117,0.302,5936.0,,Confirmed planets,1.3688943817798427,1.2107370989884048,0.3656556114153325,1.0633103604305536,1.9348568940784792,True
92,HD 183263 c,0.0,6.9,,4684.0,5.69,0.051,299.0,,,,,,RV,2008.0,15/08/15,19 28 24.6,+08 21 28.9,55.1,1.121,1.117,0.302,5936.0,,Confirmed planets,1.3688943817798427,1.2107370989884048,0.3656556114153325,1.0633103604305536,1.9348568940784792,False
93,HD 154672 b,0.0,5.02,,163.91,0.6,0.61,,,,,357.1,,RV,2008.0,09/05/20,17 10 05,-56 26 57,65.8,1.06,1.27,0.26,5714.0,,Confirmed planets,1.519345038034426,1.1786189317680578,0.35193544532179266,1.1353806791961345,2.077766315844003,False
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,beta Ursae Minoris b,0.0,6.1,,522.3,1.4,0.19,307.4,,,,,,RV,2014.0,15/11/26,14 50 42.32580,+74 09 19.8142,40.14,1.4,38.3,-0.27,4126.0,2.95,Confirmed planets,375.6664996409009,1.0200834141930168,0.2688750444810663,19.190371888029958,37.37885437037188,False
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,OGLE-TR-10 b,0.0,0.68,1.72,3.10129,0.04516,0.0,,,,84.5,1702.0,,transit,2004.0,10/06/24,17 51 28,-29 52 34,1500.0,1.277,1.52,0.28,6075.0,,Confirmed planets,2.780739658196759,1.2315276372820476,0.37426589605177646,1.502650859523767,2.7257752124438337,False
104,Kepler-128 b,0.0,0.00409,0.10298,15.09,,,,,,,,,transit,2013.0,16/01/13,18 49 58.128,+43 58 48.64,368.14,1.17,1.55,,6090.0,4.2,Confirmed planets,2.920253765625001,1.14954504318149,0.375192857552425,1.5938494604478284,2.7898638865843797,
105,Kepler-128 c,0.0,0.00472,0.10298,22.804,,,,,,,,,transit,2013.0,16/01/13,18 49 58.128,+43 58 48.64,368.14,1.17,1.55,,6090.0,4.2,Confirmed planets,2.920253765625001,1.14954504318149,0.375192857552425,1.5938494604478284,2.7898638865843797,
106,WASP-11 b,2.0,0.46,1.045,3.722469,0.0439,0.0,,,,88.5,943.2,,transit,2008.0,08/11/27,03 09 29,+30 40 25,121.7,0.82,0.81,0.13,4974.0,,"Confirmed planets, Planets in binary systems, S-type",0.35487972443727284,1.0871072307538463,0.30880403587110145,0.5713528544264884,1.072010674371464,False
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,HATS-18 b,0.0,1.98,1.337,0.8378434,0.01761,0.166,,,,85.5,,,transit,2016.0,16/06/06,11 35 50,-29 50 38,645.0,1.037,1.02,0.28,5600.0,4.2,Confirmed planets,0.9041499805593535,1.16280585743616,0.3449652806948,0.881792972266823,1.6189466780108999,False
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,KELT-16 b,0.0,2.75,1.415,0.9689951,0.02044,,,,,,,,transit,2016.0,16/08/03,20 57 04,+31 39 40,365.0,1.211,1.36,-0.002,6236.0,2.9,Confirmed planets,2.4716687605319647,1.256007872403112,0.38416549991502846,1.402810324391762,2.5365063512783017,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,HD 106315 b,0.0,0.025,0.199,9.5521,0.09012,0.3,72.0,,,88.4,,,,2017.0,17/01/17,12 13 53,+00 36 23,107.3,1.07,1.18,-0.24,6290.0,4.0,Confirmed planets,1.9259926354120949,1.2642679171131601,0.38745181590642497,1.2342631203173027,2.2295563885499137,False
116,HD 106315 c,0.0,0.063,0.352,21.0576,0.1526,0.23,106.0,,,89.42,,,,2017.0,17/01/17,12 13 53,+00 36 23,107.3,1.07,1.18,-0.24,6290.0,4.0,Confirmed planets,1.9259926354120949,1.2642679171131601,0.38745181590642497,1.2342631203173027,2.2295563885499137,False
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,WASP-62 b,0.0,0.57,1.39,4.411953,0.0567,0.0,,,,88.3,1305.2,,transit,2011.0,12/04/24,05 48 33.59,-63 59 18.3,160.0,1.25,1.28,0.04,6230.0,,Confirmed planets,2.1810225290426857,1.2550909502249998,0.383799066265625,1.3182339027744552,2.3838455774957694,False
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,WASP-14 b,2.0,7.341,1.281,2.2437661,0.036,0.087,,,,84.79,1718.8,,transit,2008.0,12/04/08,14 33 06,+21 53 41,160.0,1.211,1.306,,6462.0,,"Confirmed planets, Planets in binary systems, S-type",2.6281018645309504,1.2905554454790125,0.39774093862656384,1.427028883148017,2.5705197796688606,False
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,HD 2952 b,0.0,1.6,,311.6,1.2,0.129,64.0,,,,,,RV,2013.0,13/04/17,00 33 10,+54 53 41,115.0,2.5,12.02,0.0,4844.0,,Confirmed planets,70.29322987019712,1.0741131737433536,0.3019215878033101,8.089687174515001,15.258423551080913,False
132,WASP-127 b,0.0,0.18,1.37,4.178062,0.052,,,,,88.7,,,transit,2016.0,16/07/27,10 42 14,-03 09 54,,1.08,1.39,,5620.0,11.41,Confirmed planets,1.7031891763703677,1.16554202443776,0.34618260244480004,1.208836252393969,2.218088269559442,
