,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,IsInHabitableZone
784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,HD 114762 b,2.0,10.98,,83.9151,0.353,0.3354,,,,,486.8,,RV,1992.0,11/06/09,13 12 19,+17 31 01,39.46,0.84,1.24,-0.71,5934.0,,"Confirmed planets, Planets in binary systems, S-type",1.6846960748033348,1.210441188263929,0.3655316162626023,1.179747146010497,2.1468332284154346,False
790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,HD 33142 b,0.0,1.3,,326.6,1.06,0.0,,,,,442.1,,RV,2011.0,12/07/24,05 07 35.54,-13 59 11.3,126.0,1.48,4.2,0.05,5052.0,,Confirmed planets,10.1540658163793,1.0953792531242024,0.31305231960675334,3.0446524982587033,5.695233362080439,False
798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,HD 45364 b,0.0,0.1872,,226.93,0.6813,0.1684,,,,,273.1,,RV,2009.0,12/01/31,06 25 38,-31 28 51,32.6,0.82,,-0.17,5434.0,,Confirmed planets,,1.1407797441362808,0.33497609443396226,,,
801,HD 45364 c,0.0,0.6579,,342.85,0.8972,0.0974,,,,,238.3,,RV,2009.0,12/01/31,06 25 38,-31 28 51,32.6,0.82,,-0.17,5434.0,,Confirmed planets,,1.1407797441362808,0.33497609443396226,,,
802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,BD-10 3166 b,0.0,0.408,,3.48777,0.0427,0.019,334.0,,,,,,RV,2000.0,15/11/17,10 58 28.7798,-10 46 13.386,65.19,0.85,0.81,0.382,5393.0,,Confirmed planets,0.49043306728602715,1.1355394642839896,0.3325453906253952,0.6571866856816296,1.214407403190357,False
810,omi CrB b,0.0,1.5,,187.83,0.83,0.191,79.0,,,,,,RV,2012.0,15/11/02,15 20 08.55879,+29 36 58.3488,82.8,2.13,10.5,-0.29,4749.0,,Confirmed planets,49.55361042427497,1.065251237282424,0.29705671538982503,6.820427981326726,12.915700443299269,False
811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,HD 984 b,0.0,65.0,,,18.0,,,,,,2730.0,,imaging,2017.0,17/03/09,00 14 10,-07 48 03,47.1,1.2,,,6315.0,80.0,Confirmed planets,,1.2680946406804474,0.38896547606227655,,,
818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,HD 219134 b,0.0,0.012,0.1433,3.0931,0.038474,0.0,0.0,,,85.058,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,0.2607768288438706,0.9893320016563256,0.29455418070334105,0.5134089925761192,0.9409182763098289,False
821,HD 219134 c,0.0,0.011,,6.7635,0.064816,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,0.2607768288438706,0.9893320016563256,0.29455418070334105,0.5134089925761192,0.9409182763098289,False
822,HD 219134 d,0.0,0.028,,22.805,0.14574,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,0.2607768288438706,1.0608027365999753,0.29455418070334105,0.49581217184866766,0.9409182763098289,False
823,HD 219134 e,0.0,0.067,,46.71,0.23508,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,0.2607768288438706,1.0608027365999753,0.29455418070334105,0.49581217184866766,0.9409182763098289,False
824,HD 219134 f,0.0,0.034,,94.2,0.3753,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,0.2607768288438706,1.0608027365999753,0.29455418070334105,0.49581217184866766,0.9409182763098289,False
825,HD 219134 g,0.0,0.34,,2247.0,3.11,0.06,215.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,0.2607768288438706,1.0608027365999753,0.29455418070334105,0.49581217184866766,0.9409182763098289,False
826,KOI-523.02,0.0,0.00535,0.26428,36.855,,,,,,,,,transit,2013.0,13/09/13,19 04 11,+45 03 11,1387.37,0.93,0.98,,6197.0,1.8,Confirmed planets,1.251601750066892,1.164631030499272,0.38177958372206705,1.0366661126686512,1.8106175718022681,
827,KOI-523.01,0.0,0.01982,0.64703,49.412,,,,,,,,,transit,2013.0,13/09/13,19 04 11,+45 03 11,1387.37,0.93,0.98,,6197.0,1.8,Confirmed planets,1.251601750066892,1.250052417155301,0.38177958372206705,1.0006195152784165,1.8106175718022681,
828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,61 Vir b,0.0,0.016,,4.215,0.050201,0.12,105.0,,,,,,RV,2009.0,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571.0,6.3,Confirmed planets,0.7893565805081133,1.1588686264409203,0.3432049122055502,0.8253145737694524,1.5165609507259805,False
830,61 Vir c,0.0,0.0573,,38.021,0.2175,0.14,341.0,,,,,,RV,2009.0,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571.0,6.3,Confirmed planets,0.7893565805081133,1.1588686264409203,0.3432049122055502,0.8253145737694524,1.5165609507259805,False
831,61 Vir d,0.0,0.0721,,123.01,0.476,0.35,314.0,,,,,,RV,2009.0,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571.0,6.3,Confirmed planets,0.7893565805081133,1.1588686264409203,0.3432049122055502,0.8253145737694524,1.5165609507259805,False
832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,CoRoT-13 b,0.0,1.308,0.885,4.03519,0.051,0.0,,,,88.02,1166.5,,transit,2010.0,10/07/12,06 50 53,-05 05 11,1310.0,1.09,1.01,0.01,5945.0,,Confirmed planets,1.1259995297265621,1.2120699612221477,0.3662135990149015,0.9638406982095333,1.7534842561105346,False
835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,HD 205739 b,0.0,1.37,,279.8,0.896,0.27,,,,,330.2,,RV,2008.0,08/09/08,21 38 08,-31 44 15,90.3,1.22,1.33,0.19,6176.0,,Confirmed planets,2.2741570701936267,1.2468508923945,0.3804911309048173,1.3505260582555436,2.444769728886524,False
839,HD 137388 b,0.0,0.223,,330.0,0.89,0.36,,,,,219.9,,RV,2011.0,11/08/02,15 35 40,-80 12 17,38.0,0.86,0.82,0.18,5240.0,,Confirmed planets,0.4479616941620657,1.1167407909849598,0.3236279021348,0.6333506918805569,1.1765149773341035,True
840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,HD 102195 b,0.0,0.45,,4.113775,0.049,0.0,,,,,963.1,,RV,2005.0,10/12/21,11 45 42,+02 49 17,28.98,0.926,0.835,0.05,5291.0,,Confirmed planets,0.48284976329980867,1.1228709143003581,0.3265719029281146,0.6557542216440719,1.2159524804242925,False
842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,6 Lyn b,0.0,2.21,,874.774,2.18,0.059,314.9,,75.5,2.0,,,RV,2008.0,15/09/20,06 30 47.10797,+58 09 45.4809,55.8,1.82,5.2,-0.13,4978.0,,Confirmed planets,14.672843388886355,1.0875228227603602,0.3090197833409031,3.6731439713181566,6.890710419987859,False
855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,HD 217786 b,2.0,13.0,,1319.0,2.38,0.4,100.0,,,,,,RV,2010.0,16/01/22,23 03 08.205,-00 25 46.66,54.9,1.02,1.27,-0.135,5966.0,7.6,"Confirmed planets, Planets in binary systems, S-type",1.8056287608740884,1.2151878194946897,0.3675155580761191,1.218968626581139,2.2165440545058583,False
866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,HD 23079 b,0.0,2.5,,626.0,1.5,0.02,,,,,223.8,,RV,2001.0,10/12/30,03 39 43,-52 54 57,34.8,1.1,1.13,-0.24,5848.0,,Confirmed planets,1.3196974226129323,1.1978206465212764,0.3602031140783469,1.049642209924019,1.9140948408873706,True
874,WASP-94 A b,2.0,0.452,1.72,3.9501907,0.055,,,,,88.7,,,transit,2014.0,14/09/29,20 55 08,-34 08 08,180.0,1.29,1.36,0.26,6170.0,,"Confirmed planets, Planets in binary systems, S-type",2.3686805755771196,1.24593697392756,0.38012256620442497,1.3788125011338495,2.496269227544537,
875,WASP-94 B b,2.0,0.618,,2.00839,0.0335,0.0,,,,,,,RV,2014.0,14/09/29,20 55 08,-34 08 08,180.0,1.24,1.35,0.23,6040.0,,"Confirmed planets, Planets in binary systems, S-type",2.143400448359281,1.22625480537216,0.3721006291108,1.322090843673759,2.400056449501083,False
876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,WASP-97 b,0.0,1.32,1.13,2.07276,0.03303,,,,,88.0,1555.0,,transit,2013.0,13/10/22,01 38 25,-55 46 19,,1.12,1.06,0.23,5640.0,11.9,Confirmed planets,1.0046532007495745,1.1682948155225599,0.34740244194279996,0.9273247719097619,1.7005587984836863,
879,POTS-1 b,0.0,2.31,0.941,3.1606296,0.03734,,,,,88.6,,,transit,2013.0,13/09/01,13 34 26.130,-66 34 52.02,1200.0,0.695,0.588,-0.03,4400.0,,Confirmed planets,0.11451262859316166,1.03726653182976,0.2804565382628,0.33226263834257974,0.6389897730014146,
880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,KOI-1873.02,0.0,0.07046,0.2096,34.921,,,,,,,,,transit,2013.0,13/09/13,19 43 14,+40 00 30,1680.75,0.98,0.97,,6134.0,0.3,Confirmed planets,1.1770816269696227,1.2404620658420282,0.37790750229125825,0.9741179509045402,1.7648611114896111,
887,KOI-1873.01,0.0,0.10286,0.4921,71.312,,,,,,,,,transit,2013.0,13/09/13,19 43 14,+40 00 30,1680.75,0.98,0.97,,6134.0,0.3,Confirmed planets,1.1770816269696227,1.2404620658420282,0.37790750229125825,0.9741179509045402,1.7648611114896111,
888,WASP-22 b,0.0,0.588,1.158,3.5327313,0.04698,0.0,,,,88.26,1297.5,,transit,2010.0,11/07/01,03 31 16,-23 49 11,300.0,1.1,1.13,-0.05,6000.0,,Confirmed planets,1.4623452347793877,1.22025788420096,0.36962302491879995,1.0947101528391814,1.989048847162232,False
889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,HD 41004 A b,2.0,2.54,,963.0,1.7,0.74,,,,,174.8,,RV,2004.0,12/11/30,05 59 50,-48 14 23,43.03,0.4,,-0.09,5035.0,,"Confirmed planets, Planets in binary systems, S-type",,1.0935463142804476,0.31211909565427653,,,
891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,HATS-30 b,0.0,0.706,1.175,3.1743516,0.04354,0.048,,,,86.84,,,transit,2016.0,16/07/28,00 22 28,-59 03 27,339.0,1.093,1.061,0.06,5943.0,2.3,Confirmed planets,1.240914086520948,1.2117735920965838,0.3660896008872872,1.0119524714561798,1.8410990801912055,False
895,HD 62509 b,0.0,2.9,,589.64,1.69,0.02,,,,,482.6,,RV,2006.0,06/07/11,07 45 18,+28 01 34,10.34,1.47,9.3,0.19,4666.0,,Confirmed planets,36.227040839922225,1.0579480728364306,0.2929248191870631,5.851729662726962,11.120859273129508,False
896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,JS 183 b,0.0,1.67,0.32,10.134588,,0.24,283.0,,,89.25,,,transit,2017.0,17/03/28,08 37 27,+18 58 36,,0.44,0.44,0.2,3325.0,,Confirmed planets,0.020910286210170534,0.9876381703565472,0.24180334973677656,0.14550605143224773,0.294068720670956,
910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,WASP-41 b,0.0,0.94,1.18,3.052404,0.04,,,,,89.4,,,transit,2010.0,15/10/16,12 42 28.497,-30 38 23.55,180.0,0.93,0.87,0.06,5545.0,,Confirmed planets,0.6323139058528259,1.1553698231597476,0.34163172503040157,0.7397855709208393,1.3604646746418978,
913,WASP-41 c,0.0,3.18,,421.0,1.07,0.294,353.0,,,,,,RV,2015.0,15/10/16,12 42 28.497,-30 38 23.55,180.0,0.93,0.87,0.06,5545.0,,Confirmed planets,0.6323139058528259,1.1553698231597476,0.34163172503040157,0.7397855709208393,1.3604646746418978,True
914,HD 20794 b,0.0,0.0084933,,18.315,0.1207,0.0,,,,,661.0,,RV,2011.0,11/08/18,03 19 55,-43 30 10,6.06,0.7,,-0.4,5490.0,,Confirmed planets,,1.0698897462158898,0.33832095473042495,,,
915,HD 20794 c,0.0,0.00754968,,40.114,0.2036,0.0,,,,,508.9,,RV,2011.0,11/08/18,03 19 55,-43 30 10,6.06,0.7,,-0.4,5490.0,,Confirmed planets,,1.0698897462158898,0.33832095473042495,,,
916,HD 20794 d,0.0,0.015099,,90.309,0.3499,0.0,,,,,388.2,,RV,2011.0,11/08/18,03 19 55,-43 30 10,6.06,0.7,,-0.4,5490.0,,Confirmed planets,,1.0698897462158898,0.33832095473042495,,,
917,HD 162020 b,0.0,14.4,,8.428198,0.074,0.277,,,,,656.4,,RV,2002.0,10/12/29,17 50 38,-40 19 06,31.26,0.75,0.71,0.01,4830.0,,Confirmed planets,0.24243384318198943,1.0727734792249999,0.30119574301562496,0.475381863614316,0.8971647639683318,False
918,HD 31253 b,0.0,0.5,,466.0,1.26,0.3,244.0,,,,,,RV,2010.0,15/11/03,04 54 43.65327,+12 21 07.9133,50.3,1.23,1.71,0.16,5960.0,3.0,Confirmed planets,3.2603579668371694,1.2142959031641603,0.3671435792228,1.6385902933152174,2.979989089479269,False
919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,HD 43197 b,0.0,0.6,,327.8,0.92,0.83,,,,,239.6,,RV,2009.0,10/09/08,06 13 36,-29 53 50,54.9,0.96,1.0,0.4,5508.0,,Confirmed planets,0.8133243075136475,1.1504428982262824,0.3394018087083213,0.8408128538158275,1.5480136998471286,False
922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,2MASS J0219-3925 B,0.0,13.9,1.44,,,,,,,,1683.0,,imaging,2015.0,15/07/24,02 19 22.10,-39 25 22.5,39.4,0.108,0.281,,3064.0,,Confirmed planets,0.006149725194440365,0.9795696565719797,0.23465673205845564,0.07923374670595533,0.16188676537549626,
925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Kepler-59 b,0.0,0.003828,0.100243,11.8681707,,,,,,,,,transit,2012.0,12/08/19,19 08 09,+46 38 24,811.89,1.04,0.94,,6074.0,,Confirmed planets,1.0627788015441988,1.1473009375227006,0.37420407497954944,0.9624601733010089,1.685261057554211,
928,Kepler-59 c,0.0,0.012848,0.180438,17.9801235,,,,,,,,,transit,2012.0,12/08/19,19 08 09,+46 38 24,811.89,1.04,0.94,,6074.0,,Confirmed planets,1.0627788015441988,1.1473009375227006,0.37420407497954944,0.9624601733010089,1.685261057554211,
929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,HD 171028 b,0.0,1.98,,550.0,1.32,0.59,,,,,296.2,,RV,2007.0,10/11/10,18 32 15,+06 56 45,90.0,0.99,1.95,-0.49,5663.0,,Confirmed planets,3.4557593758293264,1.1714806310578796,0.348808191411162,1.7175294449567848,3.1475918332221804,False
937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,HAT-P-33 b,2.0,0.763,1.827,3.474474,0.0503,0.148,,,,86.7,1675.2,,transit,2011.0,13/05/29,07 32 44,+33 50 06,387.0,1.403,1.777,0.05,6446.0,,"Confirmed planets, Planets in binary systems, S-type",4.817526209208573,1.2881184518782083,0.3967976187341287,1.933900574115783,3.4843960635828854,False
941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,GJ 1132 b,0.0,0.005096,0.105711,1.62893,,,,,,,,,transit,2015.0,15/11/12,10 14 51.846,-47 09 24.47,12.04,0.181,0.207,-0.12,3270.0,,Confirmed planets,0.0043293203947212,0.9269422462286898,0.24024836904242497,0.06834134561908778,0.13423928787613984,
946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,WASP-57 b,0.0,0.672,0.916,2.838971,0.0386,0.0,,,,88.0,1251.0,,transit,2011.0,12/10/08,14 55 16,-02 03 27,455.0,1.01,1.32,,5600.0,,Confirmed planets,1.5142165764385023,1.16280585743616,0.3449652806948,1.1411438464629473,2.095107465661165,False
950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,WASP-52 b,0.0,0.46,1.27,1.7497798,,0.0,,,,85.35,1315.0,,transit,2011.0,11/09/13,23 13 59,+08 45 41,140.0,0.87,0.79,0.03,5000.0,,Confirmed planets,0.34468487418720417,1.08982528192896,0.31021052155879997,0.5623836337995973,1.0541025183071513,
954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,HD 1605 b,0.0,0.96,,577.9,1.48,0.078,,,,,,,RV,2015.0,15/03/26,00 20 31.51872,+30 58 29.2948,84.6,1.31,3.8,0.21,4757.0,4.59,Confirmed planets,6.534130811184973,1.0659767972111651,0.29746086558464463,2.4758255275313545,4.686827760782456,False
960,HD 1605 c,0.0,3.48,,2111.0,3.52,0.098,,,,,,,RV,2015.0,15/03/26,00 20 31.51872,+30 58 29.2948,84.6,1.31,3.8,0.21,4757.0,4.59,Confirmed planets,6.534130811184973,1.0659767972111651,0.29746086558464463,2.4758255275313545,4.686827760782456,True
961,HATS-16 b,0.0,3.27,1.3,2.686502,0.03744,,,,,83.53,,,transit,2015.0,15/11/26,23 54 14.04,-30 00 46.8,774.0,0.97,1.238,0.1,5738.0,9.5,Confirmed planets,1.4681535877859246,1.1820121271862496,0.35341141047065344,1.1144864154681,2.0381937321900114,
962,HD 40307 b,0.0,0.01258,,4.3123,0.0468,0.2,,,,,804.5,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,,1.0137272433907611,0.30896582472973283,,,
963,HD 40307 c,0.0,0.020761624,,9.6184,0.0799,0.06,,,,,617.1,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,,1.0874188370342797,0.30896582472973283,,,
964,HD 40307 d,0.0,0.029884156,,20.432,0.1321,0.07,,,,,479.9,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,,1.0874188370342797,0.30896582472973283,,,
965,HD 40307 e,0.0,0.0110099,,34.62,0.1886,0.15,,,,,401.2,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,,1.0137272433907611,0.30896582472973283,,,
966,HD 40307 f,0.0,0.01635764,,51.76,0.247,0.02,,,,,351.1,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,,1.0874188370342797,0.30896582472973283,,,
967,HD 40307 g,0.0,0.02233447,,197.8,0.6,0.29,,,,,224.0,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,,1.0874188370342797,0.30896582472973283,,,
968,HD 45184 b,0.0,0.04,,5.8872,0.0638,0.3,,,,,1045.8,,RV,2011.0,11/09/12,06 24 44,-28 46 48,21.9,,,,5940.0,,Confirmed planets,,1.21132922802176,0.3659036044288,,,
969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,HD 11506 b,0.0,4.21,,1627.5,2.708,0.37,,,,,200.7,,RV,2007.0,14/11/19,01 52 50.535,-19 30 25.11,51.7,1.19,1.33,0.31,6058.0,,Confirmed planets,2.105272820507473,1.2289637599031928,0.37321456951021825,1.3088342571516813,2.3750617045595006,False
971,HD 11506 c,0.0,0.36,,223.6,0.721,0.24,,,,,388.0,,RV,2009.0,14/11/19,01 52 50.535,-19 30 25.11,51.7,1.19,1.33,0.31,6058.0,,Confirmed planets,2.105272820507473,1.2289637599031928,0.37321456951021825,1.3088342571516813,2.3750617045595006,False
972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,HATS-19 b,0.0,0.427,1.66,4.569673,0.0589,0.3,44.0,,,86.6,,,transit,2016.0,16/07/11,09 49 38,-33 46 53,780.0,1.303,1.74,0.24,5896.0,3.94,Confirmed planets,3.2330797818813024,1.2048390081781493,0.36317611559944757,1.638112411676296,2.9836616433431766,False
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,WASP-141 b,0.0,2.69,1.21,3.310651,0.0469,0.0,,,,87.6,,,transit,2016.0,16/07/11,04 47 18,-17 53 05,570.0,1.25,1.37,0.29,5900.0,4.0,Confirmed planets,2.0097276454566853,1.20542686411776,0.36342400945279996,1.2912138338334105,2.3515910337047514,False
978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
